
Epoch 610/1000, Train Loss: 0.20622661635279654, Val Loss: 0.1777753084897995, Train Acc: 0.90375, Val Acc: 0.9049999713897705
Epoch 620/1000, Train Loss: 0.16307903856039047, Val Loss: 0.1724265217781067, Train Acc: 0.9175, Val Acc: 0.9100000262260437
Epoch 630/1000, Train Loss: 0.16460202887654304, Val Loss: 0.17955580353736877, Train Acc: 0.92125, Val Acc: 0.9049999713897705
Epoch 640/1000, Train Loss: 0.18609987042844295, Val Loss: 0.1868017017841339, Train Acc: 0.91, Val Acc: 0.8999999761581421
Epoch 650/1000, Train Loss: 0.16359609045088291, Val Loss: 0.16705742478370667, Train Acc: 0.9125, Val Acc: 0.9049999713897705
Epoch 660/1000, Train Loss: 0.18923018291592597, Val Loss: 0.1881476193666458, Train Acc: 0.90625, Val Acc: 0.9049999713897705
Epoch 670/1000, Train Loss: 0.2033899363875389, Val Loss: 0.18001018464565277, Train Acc: 0.90125, Val Acc: 0.8999999761581421
Epoch 680/1000, Train Loss: 0.1804897467792034, Val Loss: 0.17515432834625244, Train Acc: 0.91125, Val Acc: 0.8999999761581421
Epoch 690/1000, Train Loss: 0.21473487898707388, Val Loss: 0.17090658843517303, Train Acc: 0.89625, Val Acc: 0.9100000262260437
Epoch 700/1000, Train Loss: 0.17766399025917054, Val Loss: 0.177755206823349, Train Acc: 0.91875, Val Acc: 0.9049999713897705
Epoch 710/1000, Train Loss: 0.20242773294448851, Val Loss: 0.1765972524881363, Train Acc: 0.8925, Val Acc: 0.9049999713897705
Epoch 720/1000, Train Loss: 0.18200252883136273, Val Loss: 0.18491846323013306, Train Acc: 0.9075, Val Acc: 0.8999999761581421
Epoch 730/1000, Train Loss: 0.17335619941353797, Val Loss: 0.1695682853460312, Train Acc: 0.91375, Val Acc: 0.9100000262260437
Epoch 740/1000, Train Loss: 0.18222357109189033, Val Loss: 0.18161222338676453, Train Acc: 0.90625, Val Acc: 0.9049999713897705
Epoch 750/1000, Train Loss: 0.22648138545453547, Val Loss: 0.17839650809764862, Train Acc: 0.89875, Val Acc: 0.9049999713897705
Epoch 760/1000, Train Loss: 0.16603085182607175, Val Loss: 0.17426954209804535, Train Acc: 0.91875, Val Acc: 0.8999999761581421
Epoch 770/1000, Train Loss: 0.17664239898324013, Val Loss: 0.1734902411699295, Train Acc: 0.9175, Val Acc: 0.8999999761581421
